Market,Pop_5YrGrowth,Pop_5YrRank,Pop_10YrGrowth,Pop_10YrRank
Akron - OH,0.9938438008655419,123,0.9886408005783985,134
Albany - NY,1.0002190685250794,110,1.0148791793038705,107
Albuquerque - NM,1.0106359271075187,93,1.024188196529399,101
Anchorage - AK,1.0122256344017995,87,1.00697143254061,113
Asheville - NC,1.039480013965438,43,1.0934565578699114,48
Atlanta - GA,1.053318696873386,33,1.1290559974822705,35
Augusta - GA,1.0343411415711947,54,1.0743999046273582,56
Austin - TX,1.1146261382841423,3,1.2771297329629392,3
Bakersfield - CA,1.0045483290898392,103,1.0377366917992763,88
Baltimore - MD,1.0009917349561084,107,1.0119723703594448,109
Baton Rouge - LA,1.010546787635516,94,1.0281251246717553,96
Beaumont - TX,1.0002798744210337,109,0.9967373700276809,121
Birmingham - AL,1.0139662604149815,84,1.033539617637308,94
Boise - ID,1.1137419283971346,4,1.2657403700666068,5
Boston - MA,1.0086770929118154,97,1.0481753755769474,78
Brownsville-Harlingen - TX,1.012777839137137,86,1.0194867932592069,104
Buffalo - NY,0.9856911720093032,136,0.9977411696126591,120
Canton - OH,0.9923080023856126,126,0.9821832442605949,139
Charleston - SC,1.0801044944199611,18,1.1745550874576913,18
Charlotte - NC,1.0796077283860586,19,1.1816185633899576,16
Chattanooga - TN,1.0376893727328147,48,1.0716296099920697,59
Chicago - IL,0.9795072039284288,145,0.9746032337150483,142
Cincinnati - OH,1.0169665713112983,77,1.0454801469559647,79
Cleveland - OH,0.9874019574275315,131,0.9887130402415988,133
Colorado Springs - CO,1.0341762900523768,55,1.1203005894078735,38
Columbia - SC,1.0412182628666498,42,1.0783991068481866,55
Columbus - OH,1.0379321210738472,47,1.095530651823121,47
Corpus Christi - TX,1.0121136399835786,88,1.0065287818285609,114
Dallas-Fort Worth - TX,1.0821794091738788,16,1.1806300066039972,17
Dayton - OH,1.000636785991998,108,1.0127013890701946,108
Daytona Beach - FL,1.0878795851827048,14,1.1819680179121133,15
Denver - CO,1.0293290316790387,58,1.0918238836150205,50
Des Moines - IA,1.0562718025528064,31,1.1393403066486854,30
Detroit - MI,0.9929326707104965,124,1.00076187311554,117
Durham - NC,1.054770054388524,32,1.1334298742189648,33
East Bay - CA,0.9875791705871614,129,1.0165405914860586,105
El Paso - TX,1.0139098374995252,85,1.0389429035692685,86
Fayetteville - NC,1.0194392919004163,72,1.03110017898443,95
Flint - MI,0.9802664132679815,144,0.9656589732939165,145
Fort Lauderdale - FL,1.0243872709739634,68,1.0617278751721755,71
Fort Myers - FL,1.105118049951237,8,1.2278960331334055,6
Fort Wayne - IN,1.029066175764492,59,1.0697747524707582,63
Fresno - CA,1.0104178439782125,95,1.0484210057982533,77
Grand Rapids - MI,1.0261371053285093,67,1.0663237361186368,70
Greensboro - NC,1.0262798010729288,66,1.0598380020670508,72
Greenville - SC,1.0628100776237752,29,1.1332381496533857,34
Gulfport-Biloxi-Pascagoula - MS,1.016902640189382,78,1.0441937532381917,81
Harrisburg - PA,1.029064709689849,60,1.0683410652576164,67
Hartford - CT,0.9978772688954793,115,0.9926031513657202,129
Honolulu - HI,0.9737109176710858,147,0.9729308562767184,144
Houston - TX,1.075100249359752,22,1.1543379697573397,24
Huntsville - AL,1.0910661337785705,12,1.192132735575225,14
Indianapolis - IN,1.036830187964226,50,1.0958821120260194,46
Inland Empire - CA,1.0276231407229688,64,1.068978485650693,65
Jackson - MS,0.987465933479194,130,0.9771693608815107,141
Jacksonville - FL,1.0896105982633475,13,1.2055212525991321,13
Kansas City - MO,1.0241177718421466,70,1.0708740257885594,61
Killeen - TX,1.0690999007082949,24,1.1656963087789518,21
Knoxville - TN,1.0485765388021697,39,1.0975475987142467,44
Lafayette - LA,1.0001870881969297,111,0.9890896311993925,132
Lakeland - FL,1.1622341030775978,2,1.3166381535074019,2
Lancaster - PA,1.0158436998177163,79,1.0413640963907072,85
Lansing - MI,1.0025325415308017,105,1.0099782021845185,111
Las Vegas - NV,1.0489600129951475,37,1.1468496572546008,29
Lehigh Valley - PA,1.0144558202970453,82,1.0422861467524085,83
Lexington - KY,1.0243612403979188,69,1.0597575552011667,73
Little Rock - AR,1.028544438666312,63,1.049838935428509,75
Long Island - NY,0.9960711149079952,120,1.0100031512546714,110
Los Angeles - CA,0.9671396373680473,149,0.9581978063727188,148
Louisville - KY,1.011429139260728,91,1.0353909183809757,91
Madison - WI,1.0388552517934888,45,1.0962217565605612,45
Manchester - NH,1.0150197458486725,80,1.0432399834688677,82
McAllen - TX,1.0489170784617488,38,1.0920151040576556,49
Melbourne - FL,1.0747475321952087,23,1.155154481628314,23
Memphis - TN,0.9962666072059014,119,1.000273873443604,118
Miami - FL,1.0076279708797984,101,1.025817101950705,98
Milwaukee - WI,0.9929213306907656,125,0.9912312287944335,131
Minneapolis - MN,1.017662425572124,74,1.0664619276504586,69
Mobile - AL,0.996986338893322,118,0.9939066548764711,126
Modesto - CA,0.9986655057716168,113,1.0343627539425946,93
Montgomery - AL,1.009447845728629,96,1.0238204452301352,102
Myrtle Beach - SC,1.1777086895813598,1,1.3698455622194772,1
Naples - FL,1.0828320607741275,15,1.169918316243176,19
Nashville - TN,1.0635118176529106,28,1.164659322259642,22
New Haven - CT,0.9971550208999405,117,0.9929193116283662,128
New Orleans - LA,0.9870047057621015,133,0.9965870551025074,122
New York - NY,0.9814284755319863,142,1.0153232465421131,106
Norfolk - VA,1.0076369301866042,100,1.0255734116412392,100
Northern New Jersey - NJ,1.0081343113602308,98,1.0377755315369854,87
Northwest Arkansas - AR,1.10294318875564,9,1.2243487930148604,7
Ocala - FL,1.1091108063675155,7,1.2129068787072756,10
Ogden - UT,1.0597525159635783,30,1.1476305557143789,28
Oklahoma City - OK,1.0491079789155464,36,1.1028839113420867,42
Omaha - NE,1.034729083385352,53,1.0890993375727498,52
Orange County - CA,0.987035098018851,132,0.9963571817934473,123
Orlando - FL,1.080711804100882,17,1.2061832385497824,12
Palm Beach - FL,1.0519960246375966,35,1.1098213218913735,40
Pensacola - FL,1.0525780537551113,34,1.1283967207860874,36
Philadelphia - PA,1.004456488826112,104,1.0259973280714747,97
Phoenix - AZ,1.0674175249988032,27,1.1540832252141096,25
Pittsburgh - PA,0.9862011953115444,134,0.9875244588434688,136
Port St. Lucie - FL,1.1134783259545131,5,1.2138008116521932,9
Portland - ME,1.0332357632218074,56,1.0737502575119926,57
Portland - OR,1.0120102242107496,89,1.0682501843049865,68
Poughkeepsie - NY,1.004922058214488,102,0.9987206389277387,119
Providence - RI,1.0076650131010827,99,1.0350364713075635,92
Provo - UT,1.1128129725783502,6,1.2730150242023452,4
Raleigh - NC,1.0923073985383123,11,1.2197225876863933,8
Reading - PA,1.0141952645336703,83,1.036772961312007,89
Reno - NV,1.0439750196699524,40,1.1373292637896872,31
Richmond - VA,1.0386415908413529,46,1.0901185969077152,51
Rochester - NY,0.9848303191806519,137,0.9877151775931021,135
Sacramento - CA,1.0170152274439368,76,1.0735066202188777,58
Saint Louis - MO,0.9916603226731786,127,0.9921010996807379,130
Salem - OR,1.0173560873006533,75,1.0859045095280033,54
Salinas - CA,0.9824848104365256,140,0.9941292341997153,125
Salisbury - MD,1.0776844832865282,20,1.1509051765567686,26
Salt Lake City - UT,1.0266603388407678,65,1.1010816659036091,43
San Antonio - TX,1.0763475693110198,21,1.1666117280990014,20
San Diego - CA,0.997615982858359,116,1.0088751038147097,112
San Francisco - CA,0.9547493388394948,150,0.9594840773785792,147
San Jose - CA,0.9856943475226797,135,0.9942899614456422,124
Santa Barbara - CA,0.9831193290706313,139,0.9936058112948405,127
Santa Rosa - CA,0.9823206476047481,141,0.9604897826625843,146
Sarasota - FL,1.0997788065720222,10,1.21177730381974,11
Savannah - GA,1.06904925419592,26,1.1346463185853006,32
Scranton - PA,1.00018676472402,112,1.0019544567560033,116
Seattle - WA,1.0289614065227053,61,1.106957947038748,41
Shreveport - LA,0.9735745940149592,148,0.9421074302642017,150
Spokane - WA,1.035458059697756,52,1.1272068740021013,37
Springfield - MA,0.9938703268256882,122,0.9873481159573003,137
Springfield - MO,1.0420592482205657,41,1.086133103305067,53
Stamford - CT,1.001600918720017,106,1.0056431320962724,115
Stockton - CA,1.0393649107519831,44,1.1152927031209388,39
Syracuse - NY,0.9806805720655473,143,0.9733465520717852,143
Tallahassee - FL,1.0316103973999344,57,1.05567596170721,74
Tampa - FL,1.0690582705434963,25,1.1507735095440303,27
Toledo - OH,0.9915487265769333,128,0.9871161964473167,138
Trenton - NJ,0.9980112756234832,114,1.0207899777287077,103
Tucson - AZ,1.0285816147275388,62,1.070172832070804,62
Tulsa - OK,1.0371258239923729,49,1.0691145706159135,64
Vallejo-Fairfield - CA,0.9960232810573969,121,1.0361452165750225,90
Ventura - CA,0.9836673557758967,138,0.9802145494070542,140
Visalia - CA,1.0147198658048644,81,1.0449564756751344,80
Washington - DC,1.019165244278074,73,1.071173786646242,60
Wichita - KS,1.0116453333943947,90,1.025706859557512,99
Winston-Salem - NC,1.0358118048836775,51,1.0684583259577118,66
Worcester - MA,1.010938868444369,92,1.0414741916509946,84
York - PA,1.0238308653091985,71,1.0496262317100886,76
Youngstown - OH,0.9784412916194759,146,0.9534022682425897,149
