Market,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2 QTD,2025 Q2 EST,2025 Q3,2025 Q4,2026 Q1,2026 Q2,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1,2031 Q2,2031 Q3,2031 Q4,2032 Q1,2032 Q2,2032 Q3,2032 Q4,2033 Q1,2033 Q2,2033 Q3,2033 Q4,2034 Q1,2034 Q2,2034 Q3,2034 Q4,2035 Q1,2035 Q2
Akron - OH,34598,34917,34917,35153,35153,35335,35446,35446,35436,35628,35628,35678,35678,35648,35648,35624,35792,35792,35864,36122,36104,36104,36104,36302,36626,36800,36800,36900,37039,37086,37236,37236,37334,37365,37649,37649,37995,37995,37995,38011,38011,38114,38112,38110,38108,38105,38105,38164,38183,38207,38237,38270,38305,38343,38381,38421,38462,38503,38545,38586,38628,38670,38712,38755,38797,38839,38881,38923,38965,39007,39049,39091,39133,39175,39217,39259,39301,39343,39385,39427,39469,39511
Albany - NY,46152,46551,47067,48093,48328,48433,48840,49618,50042,50198,50876,50882,51162,51467,51840,52330,52414,52464,52464,53001,53611,53754,54293,54632,54746,54783,55045,55397,55397,55766,56106,56725,56891,56987,57064,57240,57539,58062,58276,58625,58625,58947,58945,59086,59083,59149,59216,59279,59428,59529,59646,59775,59915,60063,60216,60374,60536,61028,61193,61360,61528,61696,61864,62033,62202,62371,62539,62708,62877,63045,63214,63382,63550,63718,63886,64054,64221,64389,64557,64724,64892,65060
Albuquerque - NM,51116,51509,52094,52128,52156,52385,52416,52485,52485,52318,52364,52433,52659,52659,52728,52855,52855,52980,52980,53038,53012,53012,53382,53390,53534,53636,53636,53636,53636,53636,53662,53677,53883,54372,55004,55753,55991,55991,56192,56217,56237,56446,56916,56914,57244,57568,57565,57699,57972,58059,58166,58287,58421,58566,58718,58877,59042,59212,59384,59560,59738,59918,60099,60282,60466,60651,60836,61023,61210,61397,61585,61773,61961,62150,62339,62528,62717,62907,63097,63286,63477,63667
Anchorage - AK,12814,12814,12814,12814,12814,12866,12866,12866,12866,12899,12899,12979,12990,12990,12990,12990,12990,12990,13040,13040,13040,12976,12976,12976,12976,13016,13016,13016,12995,12995,12995,13006,13006,13006,13006,13054,13091,13095,13071,13071,13071,13071,13070,13070,13069,13068,13067,13067,13066,13066,13067,13068,13070,13072,13074,13077,13079,13082,13085,13088,13091,13094,13097,13100,13103,13106,13110,13113,13116,13119,13122,13125,13129,13132,13135,13138,13141,13144,13148,13151,13154,13157
Asheville - NC,12565,12894,12894,13086,13086,13122,13290,13278,13590,14157,14976,15038,15038,15797,16153,16153,16321,16321,16663,17312,17603,17716,17716,18164,18372,18932,19194,19194,19676,20009,20102,20405,20701,20701,20903,20903,21491,21667,21667,22147,22646,22918,23544,23842,24272,24486,24670,24799,25191,25290,25407,25539,25682,25834,25993,26157,26326,26498,26672,26847,27024,27201,27379,27557,27736,27915,28093,28272,28451,28629,28808,28986,29164,29343,29521,29699,29877,30055,30233,30411,30588,30766
Atlanta - GA,404529,407142,408671,409841,412522,414420,416347,418880,422802,425477,428367,430459,431614,434492,435665,439478,442436,444618,447038,449981,452802,459268,461536,464791,466180,467712,469808,471644,474336,478962,484292,487609,495142,499478,505463,511357,520072,525988,530902,535991,537168,539804,542410,544199,546181,548060,549635,551415,552190,553512,554820,556318,558250,560037,561925,563892,566174,568234,570319,572418,574526,576639,578754,580869,582985,585101,587219,589339,591457,593571,595681,597787,599888,601986,604079,606169,608255,610339,612420,614497,616573,618651
Augusta - GA,23350,23372,23422,23842,23842,24094,24094,24094,24094,24492,24492,24492,24772,24772,24804,25032,25513,25625,25625,25625,25625,25929,25938,26486,26486,26641,27155,27617,28034,28324,28912,29024,29099,29409,29409,29948,30368,30877,31019,31488,31488,31488,31487,31486,31796,31794,31791,31814,31856,31912,31979,32054,32137,32224,32316,32411,32508,32607,32708,32809,32911,33013,33116,33219,33322,33425,33528,33631,33735,33838,33941,34044,34146,34249,34352,34454,34557,34660,34762,34865,34967,35070
Austin - TX,183422,185635,187423,190013,192239,194435,198077,200123,201074,205006,208472,209361,212353,214699,215753,218372,220336,222470,226141,229689,233017,234948,238556,241054,243350,246155,250337,254861,258172,261542,264792,268168,273985,280659,286014,294802,302363,312373,317876,321484,323042,325494,328080,330290,332274,334215,336031,338032,340187,342623,345007,346448,348184,350159,352320,354626,357042,359539,362094,364687,367306,369938,372577,375220,377863,380502,383135,385762,388380,390989,393591,396183,398765,401336,403896,406445,408985,411515,414037,416550,419055,421554
Bakersfield - CA,23895,23895,23895,23895,24108,24108,24222,24286,24286,24286,24286,24286,24286,24286,24286,24286,24286,24286,24430,24470,24899,24899,24899,25054,25510,25688,25688,25688,25688,25688,25688,25737,25737,25745,25745,25839,26039,26180,26180,26180,26180,26180,26179,26406,26405,26403,26446,26444,26489,26496,26510,26529,26551,26577,26606,26636,26668,26700,26734,26769,26804,26839,26875,26911,26947,26983,27020,27057,27093,27130,27167,27204,27240,27277,27314,27351,27388,27425,27462,27499,27536,27573
Baltimore - MD,185326,186257,186510,187110,187643,188107,189200,189671,190350,192676,193306,195024,195826,196499,196864,197631,198142,198715,199617,201410,202785,203380,203465,204434,204646,204868,205191,205398,205623,205877,206371,207052,209091,209711,210084,211209,212661,213827,214261,214933,214933,215456,215645,216046,216503,216917,217132,217407,218102,218495,218927,219389,219878,220389,220920,221469,222032,222608,223196,223792,224397,225007,225625,226248,226877,227510,228147,228787,229430,230074,230721,231367,232015,232664,233315,233967,234619,235273,235927,236583,237239,237897
Baton Rouge - LA,35931,36039,36102,36373,36704,36898,36965,37241,37365,37589,37589,38235,38589,38589,39569,39605,39820,40304,40304,40580,40580,40790,40790,40822,41092,41247,41247,41187,41356,41580,41590,41722,41722,42021,42741,42749,43557,44014,44116,44168,44168,44500,44499,44657,44653,44990,44986,45111,45158,45222,45298,45384,45479,45579,45684,45792,45904,46017,46132,46248,46365,46482,46600,46718,46836,46954,47072,47190,47308,47426,47544,47662,47780,47897,48015,48132,48250,48367,48484,48602,48719,48836
Beaumont - TX,16986,17066,17034,17034,17034,17034,17034,17034,17034,17034,17034,17034,17034,17034,17034,17034,17034,17084,17084,17370,17468,17468,17468,17468,17468,17468,17688,18154,18311,18311,18311,18321,18331,18536,18536,18536,18536,18644,18644,18644,18644,18644,18643,18642,18642,18641,18640,18641,18645,18651,18658,18667,18676,18686,18697,18708,18720,18732,18744,18757,18769,18782,18795,18808,18821,18834,18848,18861,18874,18888,18901,18914,18928,18941,18955,18968,18982,18995,19009,19022,19036,19049
Birmingham - AL,58601,58856,59300,59806,59820,60761,60904,61057,61188,61188,61188,61188,61188,61188,61188,61196,61252,61252,61212,61354,61684,61684,62005,62263,62299,62758,62972,63258,63465,63531,63821,64239,64321,64811,65415,65535,66115,66392,66366,66366,66462,67066,67220,67716,67710,68452,68447,68751,68817,68907,69014,69135,69268,69408,69556,69709,69865,70025,70186,70349,70513,70678,70843,71009,71175,71341,71507,71673,71839,72004,72170,72336,72501,72666,72831,72997,73162,73326,73491,73656,73821,73986
Boise - ID,21281,21639,21639,21639,22017,22113,22554,22817,23055,23514,23676,24242,24755,25277,25705,26347,27515,27686,28022,29332,29524,30503,30796,31749,32263,32801,33163,33828,34454,35170,35699,36168,37654,38475,38917,39033,40695,41728,41879,42177,42265,42615,42614,42612,42874,42871,42891,43189,43267,43773,43922,44122,44360,44629,44922,45234,45560,45898,46245,46598,46956,47319,47685,48053,48424,48796,49169,49544,49919,50295,50672,51049,51426,51804,52182,52560,52938,53316,53695,54074,54453,54832
Boston - MA,207134,209987,210522,211446,212913,214198,216731,217666,221290,224079,225769,228327,231812,232811,234183,235127,237155,239687,242181,245371,247696,251529,253820,255223,258164,260448,261954,262521,264541,266511,268433,270756,271701,275177,277183,278968,281061,282481,284611,285816,286167,287472,289146,290811,293480,295098,296881,298436,300114,301846,302931,303920,305106,306451,307925,309501,311158,312879,314650,316458,318294,320152,322026,323910,325800,327694,329589,331483,333377,335266,337152,339035,340914,342788,344657,346522,348382,350240,352093,353944,355791,357634
Brownsville-Harlingen - TX,9037,9157,9196,9346,9346,9426,9580,9596,9596,9626,9706,9794,9906,9906,9971,9971,9999,9999,10015,10015,10095,10095,10095,10215,10215,10215,10401,10417,10429,10429,10465,10698,10698,10704,10704,10751,10751,10951,10951,10951,10951,10951,10950,10950,10949,10949,10948,10950,10953,10958,10964,10971,10978,10987,10995,11004,11014,11024,11034,11044,11054,11064,11075,11085,11096,11107,11117,11128,11139,11150,11160,11171,11182,11193,11204,11215,11226,11237,11247,11258,11269,11280
Buffalo - NY,39169,39559,39587,39766,39940,40415,40568,40909,41212,41550,41599,41655,41993,42014,42253,42312,42906,43127,43306,43338,43527,43792,44119,44453,44746,44846,45302,45426,45468,45698,46008,46143,46143,46181,46939,46970,47074,47673,47805,47823,47823,48016,48164,48162,48257,48277,48570,48674,49036,49529,49637,49757,49887,50023,50165,50311,50460,50612,50765,50919,51074,51230,51385,51541,51697,51853,52009,52165,52321,52477,52632,52788,52943,53099,53254,53409,53564,53719,53874,54029,54184,54339
Canton - OH,12463,12463,12463,12702,12692,12692,12692,12740,12740,12788,12788,12788,12788,12788,12788,12788,12788,12788,12788,12788,12788,12788,12788,12788,12965,12965,12965,13058,13058,13058,13058,13058,13058,13058,13058,13058,13058,13111,13111,13111,13111,13111,13110,13109,13108,13108,13107,13107,13107,13108,13109,13110,13112,13114,13115,13117,13119,13121,13123,13124,13126,13128,13130,13132,13134,13136,13138,13140,13141,13143,13145,13147,13149,13151,13153,13154,13156,13158,13160,13162,13164,13165
Charleston - SC,40865,42137,42427,42427,42723,43359,44040,44823,46717,47807,48695,49752,50068,51073,51834,52428,53058,53279,53902,54916,55675,56966,57636,58332,59510,61069,61937,62331,62667,63689,64870,65420,66205,66931,67863,69305,70587,72477,73558,74471,75329,75931,76105,76450,76466,76765,76831,77427,77613,77862,78159,78493,78856,79242,79645,80063,80491,80926,81368,81813,82261,82711,83163,83615,84068,84522,84975,85429,85882,86335,86788,87240,87693,88145,88597,89048,89500,89951,90403,90854,91305,91757
Charlotte - NC,137852,140466,142880,143979,146501,147385,148717,150224,152807,155447,157599,158914,161467,163364,165877,167071,168752,170514,172047,173847,175963,179565,182178,183937,186527,190725,192787,194080,195999,199285,201561,205196,207643,211758,214961,218998,222640,226731,232233,236757,237753,240995,244382,247209,250098,252346,254413,256503,258626,260740,261948,263360,264939,266654,268477,270386,272362,274385,276443,278523,280617,282717,284820,286921,289018,291109,293192,295266,297330,299384,301427,303456,305474,307479,309475,311465,313444,315413,317373,319325,321269,323204
Chattanooga - TN,20863,21111,21398,21495,21503,21503,21558,21844,21980,22150,22683,22683,22799,23168,23218,23501,23691,23691,23991,24208,24896,25151,25248,25267,25438,25438,25601,25795,25936,26536,26694,26744,27212,27609,27609,28169,28509,29310,29771,30292,30292,30344,30502,30501,30498,30556,30554,30586,30646,30726,30821,31328,31444,31568,31697,31831,31968,32108,32249,32392,32536,32680,32825,32970,33115,33261,33406,33552,33697,33842,33988,34133,34278,34423,34568,34713,34857,35002,35147,35292,35436,35581
Chicago - IL,487917,489390,490342,492342,494670,497793,499028,500716,503790,506783,508224,509437,511278,514466,517776,519815,523309,524801,526959,530956,534626,536396,537193,539034,542162,544806,546641,548764,549733,551550,552691,555390,559625,561190,563504,566670,569858,571607,572330,573524,573969,575161,576508,577830,578832,580216,581267,582938,584929,586497,588341,590069,591865,593707,595584,597486,599401,601326,603256,605188,607119,609050,610979,612906,614832,616754,618675,620594,622510,624423,626334,628242,630148,632053,633955,635855,637755,639653,641550,643446,645341,647236
Cincinnati - OH,123328,123841,124159,125632,126073,126755,127233,127573,128360,128646,128993,128981,129576,130016,130147,130153,130375,130567,131021,131826,132655,132995,133385,133679,134192,133915,134287,134414,134977,136020,136532,137547,138487,140210,140592,141260,142695,143523,144360,144831,145311,146074,146920,147807,148420,149144,149146,149706,150387,150750,151176,151648,152152,152679,153222,153774,154332,154892,155450,156006,156558,157104,157644,158177,158704,159225,159739,160246,160747,161242,161730,162213,162690,163162,163629,164093,164553,165009,165461,165910,166355,166799
Cleveland - OH,121738,122532,123190,123357,123357,123905,124090,124275,124688,125101,125793,125793,126303,127261,127320,127345,127627,127799,128388,128620,128913,129714,130083,130181,130406,130430,130611,131057,131168,131929,132455,132838,134127,134439,134806,135138,135574,136230,136647,137334,137334,137965,138755,139183,139571,139826,139820,139972,140028,140128,140263,140426,140613,140820,141044,141282,141532,141791,142059,142333,142614,142898,143187,143481,143778,144078,144380,144685,144992,145301,145612,145923,146236,146550,146865,147181,147499,147818,148137,148457,148778,149099
Colorado Springs - CO,40127,40147,40435,40468,40468,40636,40914,41223,41223,41489,42025,42025,42073,42251,42251,42601,42913,42913,43259,43680,44112,44716,45264,45255,45245,45438,45438,45438,45932,46493,46749,48014,48914,49635,50009,51500,53696,55246,56071,56524,56524,56738,57020,57294,57585,57808,57974,58056,58421,58638,58901,59201,59531,59886,60261,60652,61056,61471,61895,62326,62762,63203,63648,64096,64546,64999,65454,65911,66369,66828,67289,67750,68211,68674,69137,69601,70065,70529,70995,71460,71926,72393
Columbia - SC,36009,36009,36009,36531,36771,37195,37195,37195,36720,36720,36720,37108,37459,37663,37948,38078,38264,38264,38408,38664,38722,38838,38838,38958,38958,38990,38990,38990,39281,39380,39408,39408,39660,39963,39963,40533,41012,41068,41132,41132,41132,41267,41266,41632,41988,42292,42288,42551,42836,42912,43002,43103,43214,43332,43455,43583,43714,43847,43982,44118,44255,44393,44531,44670,44808,44947,45086,45225,45363,45502,45640,45779,45917,46055,46194,46332,46470,46608,46746,46883,47021,47159
Columbus - OH,168348,169555,170123,170879,171470,172295,172384,173130,174491,176542,177824,178387,180517,181998,182784,183997,185530,186369,186528,187910,190815,191585,193023,194187,195682,198090,199233,199803,201536,202865,203837,205666,208919,210412,212599,213894,215696,217463,219349,221624,221846,223263,224529,225958,227238,228179,229385,230551,231508,232228,233069,234000,234999,236051,237141,238258,239397,240550,241713,242881,244052,245223,246396,247566,248735,249903,251069,252232,253394,254553,255710,256865,258018,259169,260319,261467,262615,263761,264907,266053,267198,268343
Corpus Christi - TX,25646,25646,25982,25982,26722,26842,27357,27645,28285,28609,28681,28846,28804,28900,29124,29373,29589,29589,29730,29818,30287,30287,30647,30998,30998,30998,30998,30998,31054,31204,31612,31612,31740,32124,32124,32427,32667,33003,33119,33365,33365,33365,33364,33743,33741,33739,33737,33752,33783,33825,33877,33936,34001,34071,34146,34223,34303,34386,34470,34555,34642,34729,34817,34906,34996,35086,35176,35267,35358,35449,35540,35631,35723,35815,35907,35999,36091,36183,36275,36368,36460,36553
Dallas-Fort Worth - TX,641772,645780,647059,650608,656674,665063,668467,674735,680882,689671,695802,702305,706325,714345,719160,725750,733926,737569,744993,752229,756610,763303,770505,778873,786158,791407,797910,802483,807744,816855,821273,827738,835311,843268,853384,863763,875562,885454,895421,902291,904261,909351,914500,918168,921775,925451,929317,933468,937696,941703,945292,949298,953630,958212,962982,967888,972889,977947,983034,988128,993213,998276,1003312,1008332,1013341,1018320,1023295,1028244,1033169,1038068,1042943,1047793,1052621,1057429,1062220,1066992,1071747,1076489,1081216,1085948,1090670,1095380
Dayton - OH,46794,46794,47474,47441,47907,47907,48228,48228,48228,48361,48587,48795,49026,49020,49020,49000,49106,49418,49890,49974,50354,50317,50317,50317,50427,50367,50367,50325,50585,50585,50585,50971,51418,51871,51871,52012,52349,52344,52344,52455,52455,52455,52453,52450,52734,52977,52981,53012,53062,53128,53205,53290,53381,53478,53578,53681,53786,53892,53999,54106,54215,54323,54431,54540,54648,54757,54866,54974,55083,55191,55300,55408,55516,55625,55733,55841,55949,56058,56166,56274,56382,56491
Daytona Beach - FL,18983,19007,19007,19007,19007,19007,19007,19271,19271,19271,19271,19631,19626,19626,19626,19626,19927,19927,20338,20777,21069,22111,22835,23194,23592,23649,23649,24110,24636,24930,24930,25170,25335,26242,26539,27522,27691,27993,28585,29895,29895,29895,30364,30619,31120,31321,31680,31739,32138,32279,32446,32635,32839,33057,33284,33519,33760,34005,34254,34505,34757,35010,35265,35519,35774,36030,36285,36540,36796,37051,37306,37561,37815,38070,38324,38579,38833,39087,39341,39596,39850,40104
Denver - CO,213873,216406,218181,218503,220075,221677,224188,224851,228116,231786,233487,237648,241009,243261,244278,246041,248138,251420,253896,256251,258296,259696,261571,262762,264318,267779,271148,272647,275277,277884,280489,282704,285209,289266,291817,295536,301040,307220,309960,313199,314057,316102,318062,319693,321150,322425,323801,325220,326701,328140,329368,330761,332289,333927,335656,337457,339316,341220,343157,345120,347102,349096,351100,353108,355121,357133,359145,361153,363158,365159,367153,369142,371125,373101,375072,377036,378994,380947,382894,384836,386774,388707
Des Moines - IA,41361,41830,42600,43251,43431,44100,44530,45379,46617,48059,49275,49339,50363,50519,51167,51692,51692,52062,52637,52874,53239,53514,53668,54045,54921,55090,55252,55756,55868,56258,56486,56668,57452,58053,58566,58986,59297,60231,60257,60680,60680,60836,60965,61157,61390,61607,62045,62302,62633,62820,63038,63279,63539,63811,64094,64384,64679,64978,65280,65583,65888,66193,66499,66805,67111,67417,67723,68029,68335,68641,68947,69253,69559,69864,70170,70475,70780,71086,71391,71697,72002,72308
Detroit - MI,211241,211131,211223,211994,213133,213440,214071,214811,215197,215715,216175,216096,216429,216643,216643,217673,218038,218658,219083,220071,220548,221196,221403,222455,223014,224424,224758,225264,225913,226322,226745,227379,228261,228941,230200,231264,231873,232235,232650,232918,233103,233455,233948,234283,234660,235130,235178,235252,235366,235568,235838,236161,236527,236924,237346,237789,238244,239153,239626,240104,240583,241064,241545,242026,242507,242988,243468,243947,244425,244902,245379,245854,246328,246802,247274,247746,248217,248688,249158,249628,250098,250568
Durham - NC,46467,46467,46467,46696,46681,47441,47753,48018,48511,49392,49288,49576,50194,50194,50194,51027,51439,51878,52480,52528,53482,53962,54715,54984,54991,54991,54991,56154,56154,56913,57206,57406,58016,58436,59204,59608,61166,62473,63120,63957,63957,64686,65517,66164,67936,68302,69204,70815,71085,71876,72235,72638,73076,73542,74029,74532,75049,75574,76107,76644,77185,77728,78273,78819,79365,79912,80459,81007,81554,82100,82647,83193,83739,84284,84829,85374,85919,86464,87009,87553,88098,88643
East Bay - CA,166478,166877,166996,167087,167400,167806,168517,169234,169410,169770,169833,170021,170523,171090,171857,172746,173582,174548,175103,175735,176601,178719,179055,180115,181589,182655,182744,183007,184316,187036,187862,188008,189066,189854,190361,190801,191027,192044,192968,193256,193256,193561,193900,194173,194454,194741,194943,195197,195260,195416,195646,195933,196265,196631,197027,198003,198439,198889,199349,199819,200294,200775,201260,201749,202239,202733,203228,203724,204220,204718,205217,205716,206214,206713,207212,207711,208210,208710,209210,209709,210209,210708
El Paso - TX,42825,43002,43002,43072,43420,43400,43657,43685,43881,44341,44431,44431,44431,44651,44665,44665,44865,45097,45097,45295,45306,45306,45306,45306,45354,45590,45748,45982,46020,46184,46184,46397,46605,46830,46924,46994,47200,47200,47685,47685,47685,47685,47960,48219,48352,48430,48427,48442,48473,48515,48568,48628,48694,48765,48840,48919,49000,49084,49170,49257,49345,49434,49524,49614,49705,49797,49889,49981,50074,50166,50259,50352,50446,50539,50633,50726,50820,50914,51008,51102,51196,51290
Fayetteville - NC,23780,23780,23780,23780,23780,23780,23780,23780,23780,23780,23780,23780,23780,23780,23780,23780,23780,23780,23780,23876,23876,23876,23876,23876,23876,23876,23797,23797,23797,23813,23813,23885,24489,24498,24881,24891,24891,25146,25346,25526,25526,25526,25885,25884,25954,25952,25950,25967,26000,26044,26096,26155,26220,26288,26360,26435,26511,26589,26667,26747,26826,26907,26987,27068,27149,27229,27310,27391,27472,27552,27633,27714,27794,27875,27955,28036,28116,28196,28277,28357,28437,28518
Flint - MI,19352,19352,19280,19382,19382,19382,19382,19418,19418,19418,19407,19407,19407,19407,19407,19407,19407,19407,19407,19499,19499,19561,19561,19561,19575,19575,19575,19685,19695,19695,19758,19758,19758,19774,19822,19822,19950,19950,19950,19950,20000,20074,20159,20158,20156,20155,20155,20160,20169,20181,20194,20210,20226,20243,20262,20280,20299,20318,20338,20357,20377,20396,20416,20436,20455,20475,20495,20514,20534,20554,20573,20593,20613,20632,20652,20671,20691,20710,20730,20749,20769,20789
Fort Lauderdale - FL,108593,108583,109497,109515,110562,110981,112884,113331,113856,115390,116658,117052,117854,118222,119043,119353,120576,120883,121084,121237,123293,125490,126819,127780,128041,128755,129094,130425,131153,131525,132118,133672,134936,136571,137407,138850,139923,141550,142919,144055,144055,145034,146152,147240,148327,149345,150450,150877,151467,152931,154134,154605,155171,155811,156510,157253,158028,158828,159645,160472,161305,162140,162974,163808,164637,165461,166279,167092,167897,168696,169488,170272,171050,171822,172586,173345,174098,174846,175588,176325,177057,177784
Fort Myers - FL,15907,16376,16636,16772,17079,17367,17367,17692,17720,17972,18265,18265,19019,19339,19999,20046,20068,20783,21110,22187,22899,23809,25435,26089,26677,27521,28143,28803,28803,29259,29743,30138,30144,30560,31780,32060,33573,34960,35466,36694,36945,36945,37900,38939,39950,40146,40530,41136,41733,42465,42770,43114,43487,43883,44297,44726,45165,45612,46065,46522,46982,47444,47907,48371,48836,49301,49766,50232,50697,51162,51627,52091,52556,53020,53483,53947,54411,54874,55337,55801,56264,56728
Fort Wayne - IN,21550,21703,21861,21861,21861,21913,22087,22291,22454,22454,22454,22454,22568,22872,22872,22872,22872,22872,22872,22872,22872,23082,23118,23118,23118,23298,23298,23398,23398,23398,24021,24021,24048,24573,24573,24857,24857,25254,25646,25646,25646,25646,25977,25975,25973,26195,26200,26229,26275,26334,26403,26480,26562,26649,26739,26831,26925,27020,27116,27212,27309,27406,27503,27601,27698,27795,27893,27990,28087,28185,28282,28379,28476,28573,28671,28768,28865,28962,29059,29156,29253,29350
Fresno - CA,51914,52117,52117,52117,52149,52282,52282,52282,52766,52719,52735,52735,52758,52736,52736,53112,53282,53346,53346,53730,54004,53980,53980,53980,54138,54138,54434,54774,54853,55429,55642,55642,55642,55642,55996,55996,56427,56629,56629,56629,56657,56657,56656,56654,56650,56920,56916,56912,56974,56980,56995,57014,57039,57067,57098,57132,57166,57203,57240,57278,57317,57356,57396,57436,57476,57516,57556,57597,57637,57678,57719,57760,57800,57841,57882,57923,57964,58005,58046,58087,58127,58168
Grand Rapids - MI,41185,41353,41528,41910,42004,42237,42377,42423,42868,43579,43579,44171,44373,44817,45597,45679,45885,46303,46709,46944,47274,48535,48745,48757,49256,49684,49684,49760,50294,50624,50747,51323,51395,52084,52801,53047,53647,53803,54026,54301,54301,54353,54350,54537,55125,55273,55426,55579,55689,55830,55994,56558,56754,56960,57173,57392,57616,57842,58069,58299,58529,58759,58990,59221,59452,59684,59915,60146,60377,60609,60840,61070,61301,61532,61763,61993,62224,62455,62685,62916,63147,63378
Greensboro - NC,43255,43255,43462,43502,43705,43705,43705,43811,44311,44479,44752,44812,44956,44956,45235,45235,45486,45729,45917,45939,46179,46369,46922,46927,47157,47405,47477,47477,47741,47789,48569,48569,48626,48626,49034,49207,49469,50057,50057,50659,50659,50659,51462,51784,52017,52228,52564,52596,52656,52737,52834,52943,53063,53190,53323,53461,53602,53746,53892,54039,54187,54336,54485,54635,54784,54934,55084,55234,55383,55533,55683,55832,55981,56131,56280,56429,56578,56727,56876,57024,57173,57322
Greenville - SC,36061,36406,36406,36970,37294,37540,38290,39011,39971,40487,40780,41318,41328,41724,41995,42054,42898,43426,43956,44261,45408,45522,45542,45736,46603,47229,48128,48121,48412,48512,49360,49583,51120,51553,52239,53163,54149,54239,55459,55737,55737,55929,55928,56155,56200,56540,56536,56639,57210,57358,57535,57733,57950,58180,58420,58669,58924,59184,59447,59713,59980,60248,60517,60787,61057,61328,61598,61868,62139,62409,62679,62949,63218,63488,63757,64026,64295,64564,64834,65102,65371,65640
Gulfport-Biloxi-Pascagoula - MS,18056,18056,18056,18056,18056,18056,18056,18056,18056,18056,18056,18056,18056,18056,18056,18056,18056,18056,18056,18056,18086,18086,18086,18126,18126,18232,18496,18496,18496,18729,18729,18779,18963,18963,18963,19119,19119,19119,19119,19119,19119,19119,19118,19118,19116,19114,19113,19115,19192,19199,19207,19217,19229,19240,19253,19266,19279,19293,19306,19320,19334,19348,19362,19377,19391,19405,19419,19433,19447,19461,19475,19489,19503,19517,19531,19545,19559,19573,19587,19601,19615,19629
Harrisburg - PA,27520,27818,27818,27818,27818,27824,27824,27824,28262,28337,28361,28393,28393,28393,28691,29101,29173,29489,29489,29584,29632,29632,29632,29925,29964,29964,29964,30180,30217,30552,30745,30990,31122,31725,31747,32263,32346,32860,32860,33022,33022,33208,33207,33205,33203,33202,33381,33418,33512,33585,33669,33762,33863,33969,34079,34192,34308,34426,34545,34665,34785,34906,35027,35148,35269,35390,35511,35632,35753,35874,35995,36116,36237,36357,36478,36599,36719,36839,36960,37080,37200,37321
Hartford - CT,60138,60646,60767,60785,60818,61362,61896,62237,62668,62736,63302,63459,63513,63556,63932,64002,64526,65210,65465,65740,66113,66223,66718,66718,66828,67114,67114,67090,67152,67268,67501,67799,68202,68518,68556,68797,69439,69920,70582,70892,70892,71251,71251,71537,71816,72070,72400,72587,72585,72623,73207,73326,73472,73639,73824,74022,74230,74444,74665,74889,75116,75346,75576,75807,76039,76270,76501,76732,76963,77193,77422,77651,77880,78108,78336,78563,78789,79015,79241,79467,79693,79918
