Market,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2 QTD,2025 Q2 EST,2025 Q3,2025 Q4,2026 Q1,2026 Q2,2026 Q3,2026 Q4,2027 Q1,2027 Q2,2027 Q3,2027 Q4,2028 Q1,2028 Q2,2028 Q3,2028 Q4,2029 Q1,2029 Q2,2029 Q3,2029 Q4,2030 Q1,2030 Q2,2030 Q3,2030 Q4,2031 Q1,2031 Q2,2031 Q3,2031 Q4,2032 Q1,2032 Q2,2032 Q3,2032 Q4,2033 Q1,2033 Q2,2033 Q3,2033 Q4,2034 Q1,2034 Q2,2034 Q3,2034 Q4,2035 Q1,2035 Q2
Philadelphia - PA,301046,302638,303802,304648,306770,307712,308187,309518,311318,312714,313821,314403,315324,318466,320449,321949,323979,324706,326345,329187,330352,332964,334836,335851,338155,340326,341957,343021,344414,347172,348275,350956,353579,359132,362051,365289,369083,373350,375310,377232,377404,378978,379949,381402,382585,383811,384794,386074,387280,388402,389269,390253,391331,392482,393690,394940,396223,397528,398849,400180,401518,402860,404205,405553,406900,408248,409596,410941,412284,413626,414964,416299,417632,418961,420289,421612,422932,424250,425562,426873,428181,429486
Phoenix - AZ,297033,298185,300796,301379,302616,304085,305259,306004,307736,310559,311779,314647,316076,318446,320721,321925,323666,325074,329783,332004,334351,335868,337920,340698,344814,347360,349989,353620,357389,360680,365055,369541,374128,379063,383729,388810,395796,401884,409415,414520,415656,418358,421494,423980,426201,428193,429977,431315,432978,434529,436181,438210,439494,440660,442038,443588,445283,447094,449001,450987,453035,455125,457250,459401,461572,463756,465949,468146,470343,472538,474729,476915,479097,481273,483445,485609,487769,489922,492070,494213,496353,498488
Pittsburgh - PA,91435,92182,93179,93395,94318,94670,95354,95945,96189,97432,97453,97661,98398,98631,98631,98631,98755,99115,99173,100017,100240,100409,100544,100581,100848,101665,102050,102273,102558,102655,102901,103491,104252,104607,104607,105355,105355,105650,106215,106285,106465,106797,107204,107548,107821,108132,108476,108835,108982,109151,109365,109613,109891,110191,110510,110844,111189,111542,111899,112261,112626,112992,113360,113727,114095,114463,114830,115197,115563,115928,116292,116654,117016,117377,117736,118095,118453,118810,119166,119521,119875,120228
Port St. Lucie - FL,8572,8572,8572,8572,8572,8572,8572,8572,8572,8572,8572,8572,8572,8572,8572,8876,8876,9073,9073,9083,9683,9883,9883,9969,10253,10253,10263,10587,10689,10697,10894,11518,12530,13719,14425,14551,15199,15199,15419,15419,15419,15564,15563,15777,15801,15800,15800,16092,16165,16261,16376,16504,16644,16793,16948,17109,17273,17441,17611,17782,17954,18127,18301,18475,18649,18824,18998,19172,19347,19521,19695,19869,20044,20217,20391,20565,20739,20913,21086,21260,21434,21607
Portland - ME,14049,14049,14133,14133,14133,14133,14215,14260,14453,14630,14786,14786,14789,14789,15113,15182,15194,15289,15289,15289,15360,15440,15696,15826,15981,16128,16192,16216,16216,16384,16492,16824,16909,17436,17966,18269,18321,18510,18570,18948,18948,18948,19067,19066,19065,19064,19139,19175,19230,19299,19379,19468,19563,19664,19769,19876,19986,20098,20211,20325,20439,20553,20668,20783,20898,21013,21128,21243,21358,21472,21587,21702,21816,21931,22045,22160,22274,22388,22502,22617,22731,22845
Portland - OR,176173,177976,179043,180209,181188,183123,184228,186239,187227,188282,189799,192213,193550,195359,196761,197911,200093,201740,203796,205896,207676,210136,211424,213395,216004,217309,218353,219921,220793,221414,222081,224930,226866,228930,229487,231639,233655,236277,238366,238983,239281,239920,240302,240890,241224,241594,241961,242330,242607,243038,243590,244242,244975,245774,246629,247530,248471,249445,250447,251472,252519,253583,254664,255759,256866,257985,259114,260251,261396,262549,263708,264872,266042,267216,268395,269578,270766,271957,273151,274347,275547,276750
Poughkeepsie - NY,11791,11791,11827,11827,11999,11999,12135,12135,12214,12214,12214,12214,12284,12284,12284,12307,12377,13154,13170,13315,13444,13482,13482,13494,13494,13494,13494,13494,13506,13575,13667,13730,13730,13730,13730,13800,13815,14089,14120,14152,14152,14152,14151,14151,14150,14176,14178,14226,14239,14255,14274,14295,14317,14341,14366,14392,14418,14444,14471,14498,14525,14552,14580,14607,14634,14662,14689,14716,14743,14771,14798,14825,14852,14880,14907,14934,14961,14988,15015,15042,15069,15096
Providence - RI,53680,53812,54245,54470,54470,54904,55004,55356,55348,55472,56020,56568,56705,57223,57526,57768,58008,58026,58040,58317,58773,59188,59394,59447,59554,59805,59959,60151,60269,60648,60648,60708,61194,61336,61483,61685,61713,61781,62236,62397,62460,62853,63065,63142,63289,63495,63698,63796,63867,63958,64064,64181,64308,64441,64580,64723,64870,65018,65168,65319,65471,65623,65775,65928,66081,66234,66386,66539,66692,66844,66997,67149,67301,67453,67605,67757,67909,68061,68212,68364,68516,68667
Provo - UT,8932,9164,9188,10052,10423,10472,10516,10661,11214,11214,11659,12127,12302,12471,12664,13511,13738,13738,13854,14669,14926,15063,15593,15593,15735,15865,16067,16263,16829,17370,18120,18472,18724,19699,20035,20775,21083,21752,21752,21752,21971,22424,22950,23141,23140,23138,24529,24578,24673,25106,25264,25443,25640,25851,26075,26308,26549,26797,27049,27306,27566,27829,28095,28362,28630,28901,29172,29444,29717,29991,30266,30540,30816,31092,31368,31644,31921,32198,32475,32753,33031,33309
Raleigh - NC,86833,87320,87604,88491,89299,90660,91613,91543,92357,93905,94445,95897,95952,97323,97937,98930,99447,100446,101638,102256,103570,105694,106744,107225,107618,108180,108842,110418,111003,112237,112885,115105,117712,120077,122517,125040,127479,129612,131341,134420,134717,136569,137977,139101,139844,140749,141666,141990,142491,143130,143855,144643,145494,146404,147344,148311,149301,150312,151332,152359,153389,154419,155450,156477,157503,158525,159542,160555,161563,162565,163562,164553,165539,166520,167497,168471,169440,170406,171368,172328,173285,174239
Reading - PA,10278,10278,10278,10284,10340,10340,10340,10340,10356,10356,10356,10356,10455,10455,10455,10455,10537,10747,10747,10747,10747,10747,10747,10747,10747,10747,10747,10767,10767,10767,10767,10767,10787,10787,10967,11076,11076,11154,11154,11181,11181,11181,11180,11260,11259,11259,11340,11348,11360,11375,11393,11413,11435,11458,11481,11506,11530,11556,11581,11607,11633,11659,11685,11711,11737,11763,11789,11815,11841,11867,11893,11919,11945,11971,11996,12022,12048,12074,12100,12126,12151,12177
Reno - NV,33740,33740,33740,33740,33740,34389,34389,34840,34840,35628,35254,35265,35637,36158,36692,37020,37276,37276,38305,38351,39221,39611,39631,40273,40764,41084,41321,41436,41497,42200,42313,42627,43638,44213,44903,45267,46193,46725,46853,46853,46913,46913,47212,47210,47477,47474,47534,47531,47617,47670,47787,47911,48061,48229,48413,48609,48814,49027,49244,49466,49692,49920,50150,50382,50615,50849,51083,51319,51555,51791,52028,52265,52503,52740,52978,53215,53453,53691,53929,54167,54405,54644
Richmond - VA,79353,79519,79508,80171,80570,80962,81154,81798,82491,82560,83013,83386,84317,84934,86042,86068,86211,87212,87885,88615,89487,90209,91369,91997,92316,92525,94274,94952,95527,96137,96500,98028,99296,100004,101979,102104,102446,103850,104740,106100,106100,106948,107751,108603,109290,109991,110693,110962,111292,111406,111609,111881,112207,112577,112980,113412,113867,114340,114826,115325,115831,116345,116864,117388,117915,118445,118977,119510,120045,120582,121120,121657,122196,122736,123275,123814,124355,124896,125437,125977,126519,127061
Rochester - NY,52189,52382,52491,52795,52890,53337,53409,53469,53744,54132,54179,54278,54458,54545,54590,54722,54877,54992,55964,56061,56358,56358,56358,56358,56571,57048,57066,57354,57499,58061,58061,58213,58630,58956,59071,59166,59433,59433,59691,59699,59699,59699,59819,60006,60003,60000,60006,60030,60069,60118,60176,60240,60309,60382,60459,60537,60617,60699,60781,60864,60947,61031,61114,61198,61282,61366,61450,61534,61617,61701,61785,61868,61952,62035,62118,62202,62285,62368,62451,62535,62618,62701
Sacramento - CA,129183,129270,129222,129222,129237,129350,129360,129478,129748,129748,130072,130072,130564,130897,131732,131746,132284,132599,133125,133659,133944,134249,134601,134596,134684,135556,135739,136147,136520,137523,138188,138572,139405,140298,141202,141664,142621,143725,144545,145119,145464,145873,146003,146259,146507,146493,146795,147177,147162,147287,147272,147257,147264,147308,147387,147494,147626,147776,147942,148121,148311,148509,148715,148926,149143,149363,149587,149814,150042,150273,150505,150738,150973,151208,151444,151680,151917,152154,152392,152630,152868,153106
Saint Louis - MO,126461,126515,127160,127527,127719,128012,128785,129815,130049,130559,131083,131046,132194,132696,133327,133843,134443,134850,134950,135955,136624,137306,137583,138533,139139,139307,139301,140202,140831,143235,144007,144247,145598,146711,147793,148639,148932,150025,150715,151018,151106,151586,151997,152354,152597,152918,153334,153566,153855,154186,154550,154939,155347,155769,156201,156640,157084,157531,157982,158434,158888,159342,159796,160252,160708,161164,161620,162078,162534,162991,163448,163905,164362,164818,165275,165732,166189,166647,167104,167562,168020,168478
Salem - OR,24197,24375,24483,24483,24483,24483,24663,24733,24733,25087,25208,25225,25434,25458,25466,25528,25956,25956,26052,26149,26149,26384,26773,27245,27460,27483,27510,27666,28006,28050,28633,28671,28679,29023,29347,29519,30173,30452,30518,30544,30544,31130,31129,31128,31126,31124,31562,31560,31604,31635,31689,31761,31848,31946,32053,32167,32286,32410,32536,32665,32797,32929,33063,33198,33333,33469,33606,33743,33880,34017,34155,34293,34431,34569,34707,34845,34983,35122,35260,35398,35537,35676
Salinas - CA,19590,19590,19600,19600,19600,19600,19600,19600,19600,19600,19648,19648,19648,19648,19648,19648,19648,19648,19648,19648,19648,19674,19674,19674,19674,19684,19684,19684,19734,19794,19794,19800,19800,19800,19800,19810,19810,19810,19810,19916,19916,19916,19915,19915,19913,19912,19975,19973,19972,19973,19976,19980,19985,19991,19998,20005,20013,20021,20029,20037,20046,20054,20063,20072,20080,20089,20098,20107,20116,20125,20133,20142,20151,20160,20169,20178,20187,20196,20205,20214,20223,20232
Salisbury - MD,6851,6851,6851,6851,6851,6932,6940,6940,6940,6940,6940,7195,7195,7195,7195,7399,7687,7838,8112,8142,8280,8334,8334,8502,8579,8911,9198,9198,9198,9422,9664,9860,10056,10088,10379,10870,11086,11750,11802,11802,11802,11802,11801,11801,11800,11815,12003,12036,12085,12146,12218,12297,12382,12471,12564,12660,12758,12858,12958,13060,13161,13263,13365,13468,13570,13673,13775,13877,13980,14082,14184,14286,14388,14490,14592,14694,14796,14898,14999,15101,15203,15305
Salt Lake City - UT,59619,60432,61203,61491,61579,62399,62687,63278,65156,65904,66280,67332,67982,69438,70468,71286,72744,73530,74679,75978,77624,77911,78112,78558,79976,81412,82772,83387,84778,86683,87599,88495,90663,92024,92973,93978,95790,97163,98076,98970,99719,100490,101377,102247,102985,103598,104353,104787,105416,106057,106649,107159,107723,108332,108978,109656,110360,111085,111827,112584,113352,114129,114914,115705,116501,117301,118104,118910,119718,120527,121337,122148,122958,123770,124582,125394,126206,127016,127827,128639,129451,130263
San Antonio - TX,162111,163447,164916,166023,167988,169138,170585,171219,173187,175545,177161,179171,180430,181313,182525,184625,185045,186805,187589,189394,191903,194297,195784,196780,197597,199224,199987,200675,201522,202961,206189,207652,210290,211312,212877,216711,219410,223741,226644,229509,229509,230866,232008,232637,233377,233835,234156,235040,235724,236520,237404,238364,239389,240469,241596,242765,243968,245203,246462,247745,249047,250364,251696,253041,254397,255764,257140,258525,259916,261314,262717,264126,265539,266957,268379,269804,271233,272665,274100,275538,276980,278424
San Diego - CA,246503,248050,248163,248397,249252,249549,249979,250491,251265,252254,253158,253871,255342,256894,257980,258422,259056,260075,262185,262417,263024,263902,264450,264995,267506,268607,269324,270354,271733,272775,273327,273822,274517,275898,277378,277642,279644,280628,281980,282935,283175,283886,284839,285558,286301,287030,287756,288421,289152,289860,290406,290914,291484,291683,291997,292409,292911,293490,294123,294801,295516,296262,297034,297827,298637,299461,300294,301137,301986,302840,303697,304556,305417,306279,307141,308003,308863,309721,310579,311435,312289,313142
San Francisco - CA,162689,163678,164203,164964,167090,167619,167640,168443,170711,171289,171422,172779,173698,173903,173903,174001,175332,175970,176091,176475,177228,178200,178927,179023,179722,181192,181666,182368,182395,183342,183691,184011,184687,184763,185013,185244,186215,186984,186984,187175,187175,187695,187998,188591,188869,188921,189429,189750,189746,189820,189972,190188,190456,190769,191120,191501,191907,192333,192776,193234,193704,194184,194671,195166,195666,196171,196679,197190,197705,198222,198741,199261,199783,200306,200830,201354,201879,202404,202930,203455,203981,204507
San Jose - CA,132598,133230,134506,134506,134746,137547,138917,139125,140224,140000,140395,140867,141574,144035,144861,145147,145726,147335,147402,148294,148772,150212,150719,151743,151779,153135,153610,153651,154860,155830,156306,156588,156518,156884,156884,157190,158043,158917,161301,162345,163061,163350,163896,164384,164705,164810,164785,164761,164760,164871,165073,165349,165687,166079,166515,166990,167499,168036,168599,169184,169788,170409,171044,171693,172355,173026,173707,174396,175093,175795,176504,177218,177937,178660,179386,180115,180848,181584,182321,183062,183805,184549
Santa Barbara - CA,18829,18829,19122,19122,19122,19394,19394,19585,19543,19543,19543,19579,19579,19737,19823,19823,19828,19828,19828,19870,19998,20108,20475,20481,20487,20487,20663,20663,20686,20686,20686,20686,20686,20686,20853,20841,20860,20944,20961,20961,20961,20961,20960,20959,20958,20957,20989,20988,20987,20990,20997,21006,21017,21030,21043,21058,21074,21090,21107,21124,21141,21159,21176,21194,21212,21230,21248,21266,21284,21302,21321,21339,21357,21375,21393,21412,21430,21448,21466,21485,21503,21521
Santa Rosa - CA,21253,21253,21497,21641,21641,21641,21751,21811,21847,21867,21629,21629,21629,21725,21732,21744,21929,21962,22159,22368,22398,22816,22816,22834,22834,22877,22877,22877,22924,23014,23208,23716,23716,23716,23988,24132,24261,24261,24409,24409,24409,24409,24408,24407,24776,24942,24962,24960,24998,25016,25287,25331,25383,25442,25506,25575,25647,25721,25798,25876,25955,26035,26115,26197,26278,26361,26443,26526,26608,26691,26774,26858,26941,27024,27107,27191,27274,27358,27441,27525,27608,27692
Sarasota - FL,24029,24177,24177,24595,25304,26024,26252,26718,26718,26908,26898,26904,27542,28309,28620,28620,29186,29605,30946,31637,31701,32745,33347,34181,34621,35228,35228,35674,35674,35779,36664,37604,39254,39894,40086,41014,42969,43824,44991,46176,47011,47539,47817,48272,48849,49144,50006,50645,51073,51354,51688,52064,52473,52907,53360,53830,54310,54800,55296,55796,56300,56806,57313,57821,58330,58840,59349,59859,60369,60878,61387,61895,62404,62912,63420,63928,64435,64943,65450,65958,66465,66973
Savannah - GA,22360,22591,22591,22591,22591,22911,23031,23604,23620,23900,24618,24800,24898,24898,25405,25679,25679,25679,25951,26623,27825,28100,28200,28853,29536,29569,29984,29984,29984,30338,30742,31273,32034,33150,33150,33616,34605,35579,36239,36401,36401,36721,36914,37201,37207,38144,38235,38504,39083,39395,39593,39816,40058,40315,40584,40862,41147,41437,41731,42028,42327,42627,42927,43229,43531,43833,44135,44437,44739,45041,45343,45644,45946,46247,46548,46849,47150,47451,47751,48052,48353,48654
Scranton - PA,8795,8815,8825,8836,8836,8861,8861,8861,8861,8861,8861,8861,8861,8861,8885,8885,8885,8885,9005,9005,9092,9140,9140,9210,9210,9210,9210,9210,9251,9251,9251,9269,9269,9269,9304,9304,9336,9348,9348,9348,9348,9348,9347,9347,9346,9346,9346,9347,9348,9350,9352,9354,9357,9360,9363,9366,9370,9373,9376,9379,9383,9386,9390,9393,9396,9400,9403,9406,9410,9413,9417,9420,9423,9427,9430,9433,9437,9440,9443,9447,9450,9453
Seattle - WA,295514,299084,301296,302577,304715,307430,311416,312921,315297,318875,321043,323389,325794,328596,331699,334800,337883,341199,343734,345767,346704,349903,351644,354443,357340,360570,362531,365268,368712,371957,373598,375417,376905,380156,382115,385158,389501,393781,396292,400363,401488,403533,405151,406647,407997,409401,410569,411734,412962,414327,415591,416527,417621,418852,420200,421647,423179,424785,426452,428172,429939,431745,433587,435457,437352,439269,441206,443161,445128,447106,449095,451092,453095,455104,457117,459135,461156,463181,465207,467236,469267,471300
Shreveport - LA,24304,24304,24354,24354,24354,24426,24426,24426,24426,24394,24394,24394,24394,24394,24394,24394,24466,24466,24466,24466,24466,24466,24466,24466,24466,24304,24304,24304,24304,24304,24586,24586,24586,24650,24618,24618,24854,24854,24854,24678,24678,24678,24677,24676,24762,24760,24758,24759,24762,24767,24774,24782,24790,24800,24809,24820,24830,24841,24852,24863,24874,24885,24896,24908,24919,24930,24941,24952,24964,24975,24986,24997,25008,25019,25030,25041,25052,25063,25074,25085,25096,25107
Spokane - WA,32589,32685,32691,32837,33248,33497,33569,34136,34149,34490,34614,34626,34852,35464,35930,35957,36179,36185,36393,36661,36736,37331,37638,37788,38117,38726,38738,38925,39224,39455,39618,39882,40074,40905,41319,41928,42463,43142,43354,43547,43561,43559,43558,43556,43876,43966,44023,44020,44242,44531,44616,44729,44865,45018,45186,45364,45550,45743,45942,46143,46348,46556,46765,46976,47188,47401,47614,47828,48043,48258,48473,48689,48905,49121,49337,49553,49769,49985,50202,50419,50635,50852
Springfield - MA,22943,23048,23114,23114,23114,23114,23114,23114,23247,23247,23247,23317,23335,23471,23488,23488,23488,23654,23654,23666,23666,23666,23666,23666,23726,23814,23814,23814,23814,23859,23859,23859,23859,23997,24037,24201,24201,24223,24223,24271,24271,24271,24270,24269,24268,24266,24268,24275,24288,24303,24322,24342,24364,24387,24412,24437,24462,24488,24515,24541,24568,24594,24621,24648,24674,24701,24728,24755,24782,24808,24835,24862,24888,24915,24941,24968,24995,25021,25048,25074,25101,25127
Springfield - MO,22044,22044,22189,22218,22283,22251,22357,22441,22518,22755,22826,22802,22814,22904,23515,23642,23708,23824,23849,23926,23967,24111,24111,24183,24183,24399,24621,24621,24779,24779,24830,24902,25603,25709,25727,25967,26066,26328,26473,26579,26579,26579,26834,26833,26831,26829,26835,26906,26953,27013,27083,27161,27245,27333,27424,27518,27614,27710,27808,27906,28005,28103,28202,28301,28400,28499,28598,28697,28796,28895,28994,29093,29192,29290,29389,29488,29587,29685,29784,29883,29982,30081
Stamford - CT,26369,26617,27123,27350,27821,28070,28417,28429,28441,28980,29050,29917,30205,30985,31256,32060,32060,32141,33207,33513,33797,33797,34079,34715,35329,35606,36031,36171,36351,36754,37269,38063,38267,38556,38590,39074,39891,40422,40784,40795,40864,41257,41930,42267,42596,43012,43221,43300,43791,43970,44184,44429,44699,44989,45298,45622,45957,46301,46653,47011,47374,47741,48111,48486,48861,49239,49617,49994,50373,50753,51132,51512,51891,52270,52649,53028,53407,53786,54164,54542,54920,55298
Stockton - CA,25062,25062,25062,25062,25062,25062,25062,25410,25410,25394,25378,25998,25998,25998,25993,25993,26147,26147,26357,26524,26828,26828,26984,26984,27230,27376,27592,27592,27592,27764,28196,28388,28417,28621,28729,29073,29073,29073,29073,29073,29073,29073,29072,29071,29069,29068,29066,29431,29430,29440,29458,29483,29513,29547,29584,29623,29664,29707,29751,29796,29842,29888,29935,29982,30029,30076,30124,30172,30219,30267,30315,30363,30411,30459,30508,30556,30604,30652,30700,30748,30797,30845
Syracuse - NY,31657,31657,31553,31553,31653,31811,31827,32089,32225,32616,32616,32709,32709,32709,32821,32821,32821,32837,32849,33061,33061,33300,33491,33567,33680,33680,33714,33736,33795,33874,34021,34288,34288,34288,34288,34288,34354,34682,34701,34767,34440,34446,34445,34443,34489,34487,34489,34787,34805,34827,34854,34883,34915,34948,34983,35019,35056,35094,35132,35170,35208,35246,35285,35323,35362,35401,35439,35478,35516,35555,35593,35632,35670,35708,35747,35785,35823,35861,35900,35938,35976,36014
Tallahassee - FL,20575,20575,20575,20575,20575,20661,20661,20693,20698,21246,21247,21253,21521,21829,22139,22383,22383,22383,22317,22262,22262,22302,22626,22646,22807,23059,23059,23059,23059,23059,23059,23319,23629,23644,23644,24430,24535,24529,24529,24829,24829,24829,24828,24872,24869,24866,24863,24874,24895,24924,24959,24999,25042,25088,25137,25187,25239,25291,25344,25398,25452,25506,25561,25615,25670,25725,25779,25834,25889,25943,25998,26052,26107,26161,26215,26270,26324,26378,26433,26487,26541,26595
Tampa - FL,175370,175713,175759,175807,176734,177973,179123,180531,181211,181078,182913,183895,185851,186907,190465,191591,192719,194313,194376,196054,197386,199522,201000,202089,204474,206077,207364,208942,212307,214729,215496,216968,219326,221005,222549,227002,230114,233350,235094,238004,238004,240188,242538,244317,245431,246816,248099,249673,251017,252010,253125,254834,256110,257435,258798,260186,261590,263003,264423,265843,267260,268675,270083,271486,272882,274272,275655,277032,278401,279764,281121,282471,283815,285154,286489,287820,289145,290467,291785,293101,294414,295723
Toledo - OH,36546,36734,36734,36734,36734,36734,36734,36734,36841,36841,37631,37949,37941,37941,38049,38161,38211,38211,38211,38590,38590,38795,38842,39094,39428,39428,39428,39386,39579,39579,39831,40047,40047,40171,40300,40417,40555,40555,40587,40849,40849,40907,40905,40903,41220,41217,41218,41233,41257,41289,41326,41368,41413,41461,41510,41561,41613,41665,41718,41771,41825,41878,41932,41985,42039,42092,42146,42200,42253,42307,42360,42414,42467,42521,42574,42627,42681,42734,42788,42841,42894,42948
Trenton - NJ,16599,17025,17025,17025,17075,17667,17667,17667,17829,18056,18056,18056,18056,18056,18288,18288,18346,18346,18346,18738,18773,18808,18878,18895,19715,20158,20177,20220,20220,20226,20226,20226,20226,20447,20447,20747,20789,20789,20789,21139,21139,21409,21562,21681,22068,22067,22187,22761,22944,23018,23104,23198,23300,23408,23520,23635,23752,23872,23992,24114,24236,24358,24481,24603,24726,24849,24972,25095,25218,25340,25463,25585,25708,25830,25953,26075,26197,26319,26441,26563,26685,26807
Tucson - AZ,78295,78295,78663,78871,78871,78871,79139,79139,79133,79158,79158,79398,79393,79480,79480,79480,79509,79543,80057,80117,80117,80217,80217,80583,80693,81438,81682,81949,81957,81957,81957,81957,82229,82983,83221,83884,83910,85423,85452,85631,85631,85631,85997,85994,85989,86341,86336,86365,86424,86507,86608,86724,86852,86989,87135,87287,87445,87607,87772,87940,88110,88282,88455,88630,88806,88983,89161,89339,89518,89697,89876,90056,90237,90417,90598,90779,90960,91141,91322,91504,91686,91868
Tulsa - OK,57299,57539,57919,57928,58396,58402,58406,58949,59425,59665,60241,60241,60257,60267,60329,60389,60488,60488,60488,61331,61331,61427,61427,61427,61427,61575,62035,62040,62464,62622,62760,62799,62811,63111,63111,64255,64517,64927,65476,65476,65476,65658,65772,66314,66629,66774,66787,67302,67411,67551,67714,67896,68091,68296,68508,68727,68949,69174,69401,69629,69859,70088,70318,70549,70779,71009,71240,71470,71701,71931,72161,72391,72621,72851,73081,73310,73540,73770,74000,74230,74459,74689
Vallejo-Fairfield - CA,17069,17037,17037,17037,17265,17265,17265,17629,17629,17692,17692,17692,17702,17702,17702,17702,17702,17717,17717,17717,17962,17962,17962,17962,17962,17962,17962,18122,18122,18415,18415,18415,18415,18490,18622,18622,18622,18622,18622,19084,19084,19084,19083,19082,19081,19369,19440,19438,19439,19450,19471,19500,19534,19572,19614,19659,19706,19754,19804,19855,19907,19959,20012,20065,20118,20172,20225,20279,20334,20388,20442,20496,20551,20605,20659,20714,20768,20823,20877,20932,20986,21041
Ventura - CA,33104,33104,33104,33128,33363,33363,33363,33283,33276,33322,33270,33720,33720,34096,34315,34360,34360,34810,35175,35220,35260,35260,35563,35599,35607,35607,35661,35661,36158,36298,36298,36577,36577,36787,36830,37446,37446,37446,37446,37446,37446,37446,37778,38162,38159,38236,38349,38346,38435,38488,38525,38576,38637,38706,38782,38863,38947,39034,39124,39216,39309,39403,39498,39593,39689,39786,39882,39980,40077,40174,40272,40370,40468,40565,40663,40761,40859,40957,41056,41154,41252,41350
Visalia - CA,6910,6910,6910,6910,6910,6910,6910,7078,7078,7078,7086,7086,7086,7086,7086,7086,7086,7086,7254,7254,7254,7254,7254,7254,7254,7254,7254,7254,7254,7254,7254,7380,7460,7768,7855,7855,7855,7855,7855,8074,8074,8074,8073,8289,8289,8288,8336,8335,8336,8368,8386,8411,8440,8473,8508,8547,8586,8628,8670,8713,8757,8801,8846,8891,8936,8982,9028,9073,9119,9165,9211,9257,9304,9350,9396,9442,9488,9535,9581,9627,9674,9720
Washington - DC,456823,459828,461176,463405,468040,470423,472907,476093,479773,481993,484296,488077,489907,492841,495214,497225,501079,505585,508139,512032,516476,519255,523026,524823,530009,533712,536872,538962,541360,545958,549116,552012,554751,558820,562792,566198,569162,573810,579217,582047,583051,584528,586224,587609,588894,590044,591390,592513,593314,594462,595740,597389,598539,599724,601132,602726,604476,606357,608346,610425,612582,614803,617079,619403,621767,624166,626596,629051,631527,634019,636524,639040,641566,644103,646647,649197,651751,654309,656871,659436,662002,664572
Wichita - KS,30608,30692,31418,31418,31558,31812,32052,32280,32430,32470,32758,32929,33247,33432,33432,34246,34594,34594,34594,34594,34594,34602,34602,34602,34806,34806,34806,34824,34824,34868,34868,34944,35627,35873,35927,36303,36303,36411,36571,36598,36598,36598,36848,37406,37445,37683,37692,37739,37815,37913,38026,38153,38288,38431,38578,38730,38885,39041,39199,39358,39517,39676,39836,39996,40156,40317,40477,40637,40797,40957,41117,41277,41437,41596,41756,41916,42076,42235,42395,42555,42715,42874
Winston-Salem - NC,29661,30057,30057,30417,30587,30587,30587,30587,30963,31078,31117,31117,31117,31117,31256,31485,31485,31821,32165,32421,32421,32421,32513,32513,32513,32513,32513,32513,32819,33043,33637,33637,33637,33879,34261,34569,35081,35170,35170,35192,35192,35192,35191,35419,35416,35413,35410,35423,35450,35486,35529,35579,35632,35690,35750,35812,35875,35940,36006,36073,36139,36207,36274,36341,36409,36476,36544,36612,36679,36747,36814,36881,36949,37016,37083,37150,37218,37285,37352,37419,37486,37553
Worcester - MA,27718,27718,27891,27885,27885,28180,28231,28231,28327,28327,28327,28730,28760,29149,29149,29197,29241,29351,29351,29465,29465,29531,29735,29827,29945,30003,30066,30316,30424,30545,30589,30938,31089,31148,31376,31855,32080,32463,32636,32636,32636,32846,32845,32843,33061,33153,33163,33246,33299,33367,33446,33533,33627,33726,33829,33935,34043,34153,34264,34376,34489,34601,34714,34827,34941,35054,35167,35280,35393,35506,35619,35732,35845,35958,36070,36183,36296,36408,36521,36633,36745,36858
York - PA,10023,10126,10168,10198,10274,10274,10289,10145,10173,10173,10226,10184,10184,10184,10184,10198,10577,10637,10637,10771,10771,10771,10894,10894,11013,11045,11061,11077,11077,11082,11082,11277,11686,11926,12097,12097,12138,12138,12236,12820,12820,12820,12819,12819,12818,13097,13106,13135,13178,13232,13295,13365,13440,13519,13602,13686,13773,13861,13950,14039,14129,14219,14309,14400,14490,14581,14671,14761,14852,14942,15032,15123,15213,15303,15393,15483,15573,15663,15753,15843,15933,16022
Youngstown - OH,17896,17896,17880,17880,17922,17922,17922,17922,17893,17893,17893,17928,17928,17928,17922,17988,17988,17988,17988,18120,18120,18120,18120,18128,18128,18128,18128,18128,18128,18128,18128,18128,18128,18128,18128,18128,18128,18105,18006,18006,18006,18006,18005,18004,18003,18001,18000,17999,17998,17996,17995,17994,17992,17991,17990,17989,17987,17986,17985,17984,17982,17981,17980,17979,17977,17976,17975,17974,17972,17971,17970,17968,17967,17966,17964,17963,17962,17960,17959,17958,17956,17955
